name,type,xcode
Mambug,district,01IS04015
Manaboc,district,01IS04016
Mapanit,district,01IS04017
Poblacion Sur,district,01IS04018
Nagpanaoan,district,01IS04019
Dirdirig,district,01IS04020
Paduros,district,01IS04022
Patac,district,01IS04023
Poblacion Norte,district,01IS04024
Sabangan Pinggan,district,01IS04026
Subadi Norte,district,01IS04027
Subadi Sur,district,01IS04028
Taliao,district,01IS04029
Cabugao,city,01IS05000
Alinaay,district,01IS05001
Aragan,district,01IS05002
Arnap,district,01IS05003
Baclig,district,01IS05004
Bato,district,01IS05005
Bonifacio,district,01IS05006
Bungro,district,01IS05007
Cacadiran,district,01IS05008
Caellayan,district,01IS05009
Carusipan,district,01IS05010
Catucdaan,district,01IS05011
Cuancabal,district,01IS05012
Cuantacla,district,01IS05013
Daclapan,district,01IS05014
Dardarat,district,01IS05015
Lipit,district,01IS05016
Maradodon,district,01IS05017
Margaay,district,01IS05018
Nagsantaan,district,01IS05019
Nagsincaoan,district,01IS05020
Namruangan,district,01IS05021
Pila,district,01IS05022
Pug-Os,district,01IS05023
Quezon,district,01IS05024
Reppaac,district,01IS05025
Rizal,district,01IS05026
Sabang,district,01IS05027
Sagayaden,district,01IS05028
Salapasap,district,01IS05029
Salomague,district,01IS05030
Sisim,district,01IS05031
Turod,district,01IS05032
Turod-Patac,district,01IS05033
Candon City,city,01IS06000
Allangigan Primero,district,01IS06001
Allangigan Segundo,district,01IS06002
Amguid,district,01IS06003
Ayudante,district,01IS06004
Bagani Camposanto,district,01IS06005
Bagani Gabor,district,01IS06006
Bagani Tocgo,district,01IS06007
Bagani Ubbog,district,01IS06008
Bagar,district,01IS06009
Balingaoan,district,01IS06010
Bugnay,district,01IS06015
Calaoaan,district,01IS06016
Calongbuyan,district,01IS06017
Caterman,district,01IS06018
Cubcubboot,district,01IS06019
Darapidap,district,01IS06020
Langlangca Primero,district,01IS06022
Langlangca Segundo,district,01IS06023
Oaig-Daya,district,01IS06024
Palacapac,district,01IS06025
Paras,district,01IS06026
Parioc Primero,district,01IS06027
Parioc Segundo,district,01IS06028
Patpata Primero,district,01IS06029
Patpata Segundo,district,01IS06030
Paypayad,district,01IS06031
Salvador Primero,district,01IS06032
Salvador Segundo,district,01IS06033
San Agustin,district,01IS06034
San Andres,district,01IS06035
San Antonio,district,01IS06036
San Isidro,district,01IS06037
San Jose,district,01IS06038
San Juan,district,01IS06039
San Nicolas,district,01IS06040
San Pedro,district,01IS06041
Santo Tomas,district,01IS06042
Tablac,district,01IS06043
Talogtog,district,01IS06044
Tamurong Primero,district,01IS06045
Tamurong Segundo,district,01IS06046
Villarica,district,01IS06048
Caoayan,city,01IS07000
Anonang Mayor,district,01IS07001
Anonang Menor,district,01IS07002
Baggoc,district,01IS07003
Callaguip,district,01IS07004
Caparacadan,district,01IS07005
Fuerte,district,01IS07006
Manangat,district,01IS07007
Naguilian,district,01IS07008
Nansuagao,district,01IS07009
Pandan,district,01IS07010
Pantay-Quitiquit,district,01IS07011
Don Dimas Querubin,district,01IS07012
Puro,district,01IS07013
Pantay Tamurong,district,01IS07014
Villamar,district,01IS07015
Don Alejandro Quirolgico,district,01IS07016
Don Lorenzo Querubin,district,01IS07017
Cervantes,city,01IS08000
Aluling,district,01IS08001
Comillas North,district,01IS08002
Comillas South,district,01IS08003
Concepcion,district,01IS08004
Dinwede East,district,01IS08005
Dinwede West,district,01IS08006
Libang,district,01IS08007
Pilipil,district,01IS08010
Remedios,district,01IS08013
Rosario,district,01IS08014
San Juan,district,01IS08015
San Luis,district,01IS08016
Malaya,district,01IS08017
Galimuyod,city,01IS09000
Abaya,district,01IS09001
Baracbac,district,01IS09002
Bidbiday,district,01IS09003
Bitong,district,01IS09004
Borobor,district,01IS09005
Calimugtong,district,01IS09006
Calongbuyan,district,01IS09007
Calumbaya,district,01IS09008
Daldagan,district,01IS09009
Kilang,district,01IS09010
Legaspi,district,01IS09011
Mabayag,district,01IS09012
Matanubong,district,01IS09013
Mckinley,district,01IS09014
Nagsingcaoan,district,01IS09015
Oaig-Daya,district,01IS09016
Pagangpang,district,01IS09017
Patac,district,01IS09018
Poblacion,district,01IS09019
Rubio,district,01IS09020
Sabangan-Bato,district,01IS09021
Sacaang,district,01IS09022
San Vicente,district,01IS09023
Sapang,district,01IS09024
Gregorio Del Pilar,city,01IS10000
Alfonso,district,01IS10001
Bussot,district,01IS10002
Concepcion,district,01IS10003
Dapdappig,district,01IS10004
Matue-Butarag,district,01IS10005
Poblacion Norte,district,01IS10007
Poblacion Sur,district,01IS10008
Lidlidda,city,01IS11000
Banucal,district,01IS11001
Bequi-Walin,district,01IS11002
Bugui,district,01IS11003
Calungbuyan,district,01IS11004
Carcarabasa,district,01IS11005
Labut,district,01IS11006
Poblacion Norte,district,01IS11007
Poblacion Sur,district,01IS11008
San Vicente,district,01IS11009
Suysuyan,district,01IS11010
Tay-Ac,district,01IS11011
Magsingal,city,01IS12000
Alangan,district,01IS12001
Bacar,district,01IS12002
Barbarit,district,01IS12006
Bungro,district,01IS12007
Cabaroan,district,01IS12008
Cadanglaan,district,01IS12010
Caraisan,district,01IS12011
Dacutan,district,01IS12014
Labut,district,01IS12015
Maas-Asin,district,01IS12017
Macatcatud,district,01IS12018
Namalpalan,district,01IS12019
Manzante,district,01IS12020
Maratudo,district,01IS12022
Miramar,district,01IS12023
Napo,district,01IS12025
Pagsanaan Norte,district,01IS12026
Pagsanaan Sur,district,01IS12027
Panay Norte,district,01IS12028
Panay Sur,district,01IS12029
Patong,district,01IS12030
Puro,district,01IS12031
San Basilio,district,01IS12032
San Clemente,district,01IS12033
San Julian,district,01IS12034
San Lucas,district,01IS12035
San Ramon,district,01IS12036
San Vicente,district,01IS12037
Santa Monica,district,01IS12038
Sarsaracat,district,01IS12039
Nagbukel,city,01IS13000
Balaweg,district,01IS13001
Bandril,district,01IS13002
Bantugo,district,01IS13003
Cadacad,district,01IS13004
Casilagan,district,01IS13005
Casocos,district,01IS13006
Lapting,district,01IS13007
Mapisi,district,01IS13008
Mission,district,01IS13009
Poblacion East,district,01IS13010
Poblacion West,district,01IS13011
Taleb,district,01IS13012
Narvacan,city,01IS14000
Abuor,district,01IS14001
Ambulogan,district,01IS14002
Aquib,district,01IS14004
Banglayan,district,01IS14005
Bulanos,district,01IS14006
Cadacad,district,01IS14007
Cagayungan,district,01IS14008
Camarao,district,01IS14009
Casilagan,district,01IS14010
Codoog,district,01IS14011
Dasay,district,01IS14012
Dinalaoan,district,01IS14013
Estancia,district,01IS14014
Lanipao,district,01IS14015
Lungog,district,01IS14016
Margaay,district,01IS14017
Marozo,district,01IS14018
Naguneg,district,01IS14019
Orence,district,01IS14020
Pantoc,district,01IS14021
Paratong,district,01IS14022
Parparia,district,01IS14023
Quinarayan,district,01IS14024
Rivadavia,district,01IS14025
San Antonio,district,01IS14026
San Jose,district,01IS14027
San Pablo,district,01IS14028
San Pedro,district,01IS14029
Santa Lucia,district,01IS14030
Sarmingan,district,01IS14031
Sucoc,district,01IS14032
Sulvec,district,01IS14033
Turod,district,01IS14034
Bantay Abot,district,01IS14035
